condition,Estimate,2.5_ci,97.5_ci,SE,DF,time,frequency
Miss,3.402,0.629,6.175,1.355,28.525,-2.0,0.5
Hit,3.736,0.876,6.596,1.406,33.046,-2.0,0.5
RP,3.749,1.077,6.421,1.294,23.744,-2.0,0.5
FTI,5.662,2.519,8.804,1.565,50.727,-2.0,0.5
Miss,1.144,0.459,1.83,0.334,26.674,-2.0,1.5128205128205128
Hit,1.159,0.459,1.859,0.343,29.592,-2.0,1.5128205128205128
RP,1.045,0.377,1.713,0.323,23.504,-2.0,1.5128205128205128
FTI,1.42,0.671,2.169,0.371,40.531,-2.0,1.5128205128205128
Miss,0.776,0.2,1.351,0.281,28.31,-2.0,2.525641025641025
Hit,0.896,0.303,1.489,0.291,32.638,-2.0,2.525641025641025
RP,0.87,0.315,1.425,0.269,23.72,-2.0,2.525641025641025
FTI,1.129,0.479,1.778,0.323,49.483,-2.0,2.525641025641025
Miss,0.838,0.417,1.26,0.207,31.287,-2.0,3.5384615384615383
Hit,0.873,0.433,1.313,0.217,38.332,-2.0,3.5384615384615383
RP,0.802,0.403,1.201,0.193,24.097,-2.0,3.5384615384615383
FTI,1.181,0.681,1.68,0.25,67.374,-2.0,3.5384615384615383
Miss,0.88,0.543,1.217,0.165,31.693,-2.0,4.55128205128205
Hit,0.909,0.557,1.262,0.174,39.131,-2.0,4.55128205128205
RP,0.843,0.525,1.162,0.154,24.141,-2.0,4.55128205128205
FTI,1.144,0.742,1.546,0.202,70.008,-2.0,4.55128205128205
Miss,0.935,0.62,1.25,0.154,30.832,-2.0,5.564102564102564
Hit,0.999,0.671,1.328,0.162,37.466,-2.0,5.564102564102564
RP,0.971,0.672,1.27,0.145,24.025,-2.0,5.564102564102564
FTI,1.073,0.702,1.444,0.186,64.611,-2.0,5.564102564102564
Miss,1.231,0.754,1.708,0.234,30.178,-2.0,6.5769230769230775
Hit,1.194,0.698,1.69,0.245,36.222,-2.0,6.5769230769230775
RP,1.298,0.843,1.753,0.22,23.927,-2.0,6.5769230769230775
FTI,1.302,0.746,1.859,0.278,60.67,-2.0,6.5769230769230775
Miss,1.634,0.924,2.344,0.347,28.968,-2.0,7.589743589743589
Hit,1.45,0.716,2.184,0.361,33.919,-2.0,7.589743589743589
RP,1.743,1.06,2.425,0.33,23.767,-2.0,7.589743589743589
FTI,1.842,1.03,2.654,0.405,53.483,-2.0,7.589743589743589
Miss,1.976,1.173,2.778,0.392,28.39,-2.0,8.602564102564102
Hit,1.805,0.978,2.632,0.407,32.832,-2.0,8.602564102564102
RP,2.108,1.335,2.882,0.375,23.686,-2.0,8.602564102564102
FTI,2.538,1.63,3.446,0.452,50.179,-2.0,8.602564102564102
Miss,2.197,1.413,2.981,0.383,29.394,-2.0,9.615384615384617
Hit,2.111,1.299,2.923,0.4,34.744,-2.0,9.615384615384617
RP,2.315,1.564,3.066,0.364,23.808,-2.0,9.615384615384617
FTI,2.997,2.094,3.9,0.451,56.072,-2.0,9.615384615384617
Miss,2.126,1.468,2.785,0.323,31.269,-2.0,10.628205128205126
Hit,2.146,1.458,2.834,0.34,38.358,-2.0,10.628205128205126
RP,2.235,1.611,2.859,0.302,24.041,-2.0,10.628205128205126
FTI,2.915,2.133,3.697,0.392,67.613,-2.0,10.628205128205126
Miss,1.801,1.324,2.278,0.235,33.987,-2.0,11.64102564102564
Hit,1.89,1.386,2.394,0.25,43.733,-2.0,11.64102564102564
RP,1.898,1.453,2.344,0.216,24.355,-2.0,11.64102564102564
FTI,2.441,1.852,3.029,0.296,85.725,-2.0,11.64102564102564
Miss,1.445,1.119,1.771,0.161,37.219,-2.0,12.653846153846152
Hit,1.512,1.163,1.861,0.174,50.322,-2.0,12.653846153846152
RP,1.487,1.188,1.786,0.145,24.696,-2.0,12.653846153846152
FTI,1.879,1.461,2.297,0.211,109.244,-2.0,12.653846153846152
Miss,1.191,0.946,1.435,0.121,38.093,-2.0,13.666666666666664
Hit,1.183,0.922,1.445,0.13,52.094,-2.0,13.666666666666664
