index,condition,Estimate,ci_low,ci_high,SE,DF,time
0,Hit,0.186,-0.951,1.323,0.578,420.423,-2.997744140625
1,Miss,0.407,-0.418,1.231,0.417,151.985,-2.997744140625
2,FTI,-0.496,-2.089,1.097,0.812,1724.717,-2.997744140625
3,RP,0.71,0.201,1.218,0.249,30.345,-2.997744140625
0,Hit,0.405,-0.689,1.499,0.557,456.902,-2.987744140625
1,Miss,0.332,-0.448,1.111,0.395,173.26,-2.987744140625
2,FTI,-0.111,-1.668,1.445,0.794,2039.968,-2.987744140625
3,RP,0.656,0.2,1.111,0.224,33.398,-2.987744140625
0,Hit,0.5,-0.57,1.571,0.546,3298.0,-2.977744140625
1,Miss,0.415,-0.339,1.169,0.385,3298.0,-2.977744140625
2,FTI,0.111,-1.426,1.649,0.784,3298.0,-2.977744140625
3,RP,0.581,0.163,0.998,0.213,3298.0,-2.977744140625
0,Hit,0.546,-0.529,1.621,0.547,457.037,-2.967744140625
1,Miss,0.509,-0.257,1.275,0.388,173.158,-2.967744140625
2,FTI,0.303,-1.226,1.831,0.78,2036.37,-2.967744140625
3,RP,0.566,0.118,1.015,0.22,33.389,-2.967744140625
0,Hit,0.73,-0.359,1.818,0.554,414.931,-2.957744140625
1,Miss,0.359,-0.434,1.152,0.401,149.159,-2.957744140625
2,FTI,0.703,-0.817,2.223,0.775,1655.883,-2.957744140625
3,RP,0.608,0.112,1.104,0.243,30.26,-2.957744140625
0,Hit,0.846,-0.243,1.935,0.554,365.188,-2.947744140625
1,Miss,0.152,-0.655,0.959,0.408,130.072,-2.947744140625
2,FTI,1.077,-0.423,2.578,0.765,1360.404,-2.947744140625
3,RP,0.584,0.054,1.113,0.259,28.392,-2.947744140625
0,Hit,0.753,-0.315,1.821,0.543,378.152,-2.937744140625
1,Miss,0.144,-0.642,0.929,0.397,134.534,-2.937744140625
2,FTI,0.949,-0.53,2.429,0.754,1467.141,-2.937744140625
3,RP,0.651,0.147,1.156,0.246,28.285,-2.937744140625
0,Hit,0.482,-0.573,1.537,0.536,372.086,-2.927744140625
1,Miss,0.24,-0.537,1.016,0.393,132.243,-2.927744140625
2,FTI,0.492,-0.969,1.952,0.744,1438.574,-2.927744140625
3,RP,0.766,0.265,1.267,0.245,27.966,-2.927744140625
0,Hit,0.254,-0.792,1.3,0.532,353.443,-2.9177441406249995
1,Miss,0.379,-0.396,1.154,0.392,125.563,-2.9177441406249995
2,FTI,0.037,-1.403,1.477,0.734,1331.284,-2.9177441406249995
3,RP,0.772,0.262,1.281,0.248,27.375,-2.9177441406249995
0,Hit,0.128,-0.878,1.135,0.512,410.036,-2.907744140625
1,Miss,0.5,-0.23,1.231,0.37,147.642,-2.907744140625
2,FTI,-0.107,-1.516,1.302,0.718,1682.645,-2.907744140625
3,RP,0.736,0.283,1.189,0.222,29.597,-2.907744140625
0,Hit,0.042,-0.935,1.018,0.497,448.845,-2.8977441406249995
1,Miss,0.571,-0.125,1.268,0.353,169.674,-2.8977441406249995
2,FTI,0.192,-1.197,1.582,0.708,2018.065,-2.8977441406249995
3,RP,0.691,0.284,1.099,0.2,32.693,-2.8977441406249995
0,Hit,0.174,-0.827,1.176,0.509,392.418,-2.887744140625
1,Miss,0.669,-0.065,1.404,0.372,140.022,-2.887744140625
2,FTI,0.59,-0.801,1.981,0.709,1526.894,-2.887744140625
3,RP,0.681,0.213,1.15,0.229,29.154,-2.887744140625
0,Hit,0.335,-0.68,1.351,0.516,344.913,-2.8777441406249995
1,Miss,0.701,-0.057,1.458,0.383,123.18,-2.8777441406249995
2,FTI,0.573,-0.819,1.965,0.71,1253.007,-2.8777441406249995
3,RP,0.748,0.242,1.254,0.247,27.838,-2.8777441406249995
0,Hit,0.509,-0.478,1.495,0.502,437.939,-2.867744140625
1,Miss,0.592,-0.122,1.307,0.362,158.985,-2.867744140625
2,FTI,0.241,-1.142,1.624,0.705,1766.508,-2.867744140625
3,RP,0.729,0.289,1.169,0.216,31.772,-2.867744140625
0,Hit,0.791,-0.169,1.752,0.489,432.335,-2.8577441406249995
1,Miss,0.494,-0.186,1.173,0.344,168.263,-2.8577441406249995
2,FTI,0.169,-1.207,1.545,0.702,2106.511,-2.8577441406249995
3,RP,0.655,0.266,1.043,0.191,32.21,-2.8577441406249995
0,Hit,0.859,-0.121,1.839,0.498,406.767,-2.847744140625
1,Miss,0.453,-0.251,1.156,0.356,149.475,-2.847744140625
2,FTI,0.576,-0.809,1.961,0.706,1834.3,-2.847744140625
3,RP,0.661,0.24,1.083,0.206,28.973,-2.847744140625
0,Hit,0.558,-0.425,1.541,0.5,407.599,-2.8377441406249995
1,Miss,0.409,-0.306,1.123,0.362,146.508,-2.8377441406249995
2,FTI,0.846,-0.528,2.22,0.701,1661.878,-2.8377441406249995
3,RP,0.654,0.21,1.099,0.218,29.492,-2.8377441406249995
0,Hit,0.254,-0.711,1.219,0.491,406.634,-2.827744140625
1,Miss,0.214,-0.491,0.919,0.357,145.703,-2.827744140625
2,FTI,0.49,-0.855,1.835,0.686,1608.527,-2.827744140625
3,RP,0.557,0.113,1.0,0.217,29.819,-2.827744140625
0,Hit,0.375,-0.576,1.326,0.484,392.38,-2.8177441406249994
1,Miss,0.103,-0.595,0.801,0.353,140.007,-2.8177441406249994
2,FTI,0.285,-1.036,1.605,0.673,1524.029,-2.8177441406249994
3,RP,0.464,0.018,0.909,0.218,29.185,-2.8177441406249994
0,Hit,0.642,-0.286,1.571,0.472,422.448,-2.807744140625
1,Miss,0.17,-0.504,0.843,0.341,152.716,-2.807744140625
2,FTI,0.348,-0.953,1.649,0.663,1724.45,-2.807744140625
3,RP,0.525,0.109,0.941,0.204,30.537,-2.807744140625
0,Hit,0.528,-0.382,1.437,0.463,459.02,-2.7977441406249994
1,Miss,0.128,-0.521,0.777,0.329,173.233,-2.7977441406249994
2,FTI,0.195,-1.096,1.487,0.659,2021.433,-2.7977441406249994
3,RP,0.596,0.215,0.977,0.187,33.464,-2.7977441406249994
0,Hit,0.496,-0.416,1.408,0.464,446.558,-2.787744140625
1,Miss,0.178,-0.475,0.83,0.33,167.168,-2.787744140625
2,FTI,-0.087,-1.381,1.207,0.66,1971.432,-2.787744140625
3,RP,0.58,0.195,0.966,0.189,32.329,-2.787744140625
0,Hit,0.781,-0.131,1.693,0.464,403.746,-2.777744140625
1,Miss,0.401,-0.26,1.061,0.334,145.698,-2.777744140625
2,FTI,-0.399,-1.679,0.88,0.652,1705.51,-2.777744140625
3,RP,0.6,0.194,1.006,0.199,28.903,-2.777744140625
0,Hit,0.774,-0.114,1.662,0.452,421.737,-2.767744140625
1,Miss,0.463,-0.174,1.1,0.322,155.851,-2.767744140625
2,FTI,-0.577,-1.834,0.679,0.641,1880.741,-2.767744140625
3,RP,0.584,0.204,0.964,0.186,30.201,-2.767744140625
0,Hit,0.521,-0.351,1.393,0.444,444.268,-2.7577441406249994
1,Miss,0.313,-0.307,0.933,0.314,169.37,-2.7577441406249994
2,FTI,-0.572,-1.815,0.67,0.634,2047.532,-2.7577441406249994
3,RP,0.483,0.123,0.844,0.177,32.536,-2.7577441406249994
0,Hit,0.354,-0.518,1.225,0.443,432.392,-2.747744140625
1,Miss,0.301,-0.323,0.925,0.316,160.327,-2.747744140625
2,FTI,-0.529,-1.762,0.704,0.629,1909.352,-2.747744140625
3,RP,0.44,0.068,0.812,0.182,31.08,-2.747744140625
0,Hit,0.246,-0.612,1.105,0.437,423.729,-2.737744140625
1,Miss,0.381,-0.234,0.996,0.311,157.095,-2.737744140625
2,FTI,-0.775,-1.991,0.441,0.62,1899.893,-2.737744140625
3,RP,0.497,0.131,0.863,0.179,30.39,-2.737744140625
0,Hit,0.088,-0.766,0.942,0.435,431.018,-2.727744140625
1,Miss,0.306,-0.303,0.916,0.309,161.773,-2.727744140625
2,FTI,-0.982,-2.196,0.231,0.619,1966.862,-2.727744140625
3,RP,0.538,0.179,0.896,0.176,31.149,-2.727744140625
0,Hit,0.002,-0.862,0.866,0.44,413.387,-2.717744140625
1,Miss,0.196,-0.432,0.824,0.318,148.801,-2.717744140625
2,FTI,-0.488,-1.697,0.72,0.616,1677.02,-2.717744140625
3,RP,0.443,0.052,0.833,0.191,29.954,-2.717744140625
0,Hit,0.057,-0.829,0.943,0.45,338.986,-2.707744140625
1,Miss,0.159,-0.5,0.819,0.333,120.581,-2.707744140625
2,FTI,-0.129,-1.345,1.086,0.62,1255.925,-2.707744140625
3,RP,0.364,-0.074,0.803,0.214,26.9,-2.707744140625
0,Hit,0.253,-0.599,1.106,0.434,368.636,-2.697744140625
1,Miss,0.181,-0.445,0.806,0.316,130.847,-2.697744140625
2,FTI,-0.403,-1.587,0.78,0.603,1468.445,-2.697744140625
3,RP,0.432,0.032,0.832,0.195,27.189,-2.697744140625
0,Hit,0.607,-0.19,1.404,0.407,3298.0,-2.687744140625
1,Miss,0.22,-0.341,0.782,0.286,3298.0,-2.687744140625
2,FTI,-0.254,-1.399,0.891,0.584,3298.0,-2.687744140625
3,RP,0.435,0.124,0.746,0.159,3298.0,-2.687744140625
0,Hit,0.896,0.084,1.709,0.413,425.674,-2.677744140625
1,Miss,0.281,-0.301,0.864,0.295,157.576,-2.677744140625
2,FTI,0.094,-1.056,1.244,0.586,1893.919,-2.677744140625
3,RP,0.323,-0.025,0.67,0.17,30.529,-2.677744140625
0,Hit,0.89,0.045,1.735,0.43,349.178,-2.6677441406249995
1,Miss,0.322,-0.305,0.948,0.317,123.973,-2.6677441406249995
2,FTI,-0.19,-1.354,0.974,0.593,1317.016,-2.6677441406249995
3,RP,0.309,-0.103,0.722,0.201,27.074,-2.6677441406249995
0,Hit,0.912,0.093,1.732,0.417,377.348,-2.657744140625
1,Miss,0.313,-0.286,0.913,0.303,134.272,-2.657744140625
2,FTI,-0.718,-1.859,0.422,0.581,1524.812,-2.657744140625
3,RP,0.321,-0.059,0.701,0.185,27.541,-2.657744140625
0,Hit,1.095,0.3,1.89,0.404,402.663,-2.6477441406249995
1,Miss,0.359,-0.211,0.928,0.288,148.445,-2.6477441406249995
2,FTI,-0.85,-1.976,0.275,0.574,1847.299,-2.6477441406249995
3,RP,0.238,-0.102,0.578,0.166,28.674,-2.6477441406249995
0,Hit,0.874,0.073,1.675,0.407,393.456,-2.637744140625
1,Miss,0.438,-0.141,1.018,0.293,141.857,-2.637744140625
