index,condition,Estimate,ci_low,ci_high,SE,DF,time
0,Hit,1.476,0.043,2.908,0.728,289.109,-2.9977441406249996
1,Miss,1.084,-0.002,2.17,0.548,104.679,-2.9977441406249996
2,FTI,2.92,0.979,4.861,0.989,1005.725,-2.9977441406249996
3,RP,0.827,0.072,1.582,0.367,25.747,-2.9977441406249996
0,Hit,1.717,0.327,3.108,0.707,339.219,-2.987744140625
1,Miss,1.043,0.006,2.079,0.524,120.895,-2.987744140625
2,FTI,3.303,1.397,5.209,0.971,1243.865,-2.987744140625
3,RP,0.756,0.064,1.448,0.337,27.206,-2.987744140625
0,Hit,1.793,0.411,3.176,0.703,346.765,-2.9777441406249996
1,Miss,1.157,0.126,2.187,0.521,123.725,-2.9777441406249996
2,FTI,3.554,1.658,5.451,0.966,1266.299,-2.9777441406249996
3,RP,0.676,-0.011,1.362,0.335,27.797,-2.9777441406249996
0,Hit,1.791,0.384,3.198,0.715,291.465,-2.9677441406249994
1,Miss,1.196,0.129,2.264,0.539,105.89,-2.9677441406249994
2,FTI,3.767,1.863,5.672,0.97,1004.097,-2.9677441406249994
3,RP,0.69,-0.055,1.434,0.362,26.274,-2.9677441406249994
0,Hit,1.923,0.501,3.346,0.722,245.558,-2.9577441406249996
1,Miss,1.01,-0.087,2.107,0.552,91.799,-2.9577441406249996
2,FTI,4.17,2.268,6.073,0.969,806.0,-2.9577441406249996
3,RP,0.742,-0.051,1.536,0.385,25.08,-2.9577441406249996
0,Hit,2.006,0.577,3.436,0.725,207.51,-2.947744140625
1,Miss,0.78,-0.34,1.9,0.563,80.484,-2.947744140625
2,FTI,4.546,2.656,6.436,0.962,649.552,-2.947744140625
3,RP,0.726,-0.112,1.563,0.406,24.239,-2.947744140625
0,Hit,1.908,0.49,3.326,0.719,201.075,-2.9377441406249996
1,Miss,0.735,-0.379,1.849,0.56,78.431,-2.9377441406249996
2,FTI,4.417,2.545,6.289,0.953,625.666,-2.9377441406249996
3,RP,0.804,-0.033,1.641,0.405,23.958,-2.9377441406249996
0,Hit,1.656,0.247,3.065,0.714,196.721,-2.9277441406249998
1,Miss,0.837,-0.271,1.946,0.557,77.089,-2.9277441406249998
2,FTI,3.957,2.1,5.814,0.945,609.023,-2.9277441406249998
3,RP,0.913,0.077,1.749,0.405,23.811,-2.9277441406249998
0,Hit,1.442,0.034,2.85,0.714,186.822,-2.9177441406249995
1,Miss,0.988,-0.125,2.101,0.559,74.164,-2.9177441406249995
2,FTI,3.499,1.65,5.348,0.941,570.09,-2.9177441406249995
3,RP,0.916,0.069,1.763,0.41,23.598,-2.9177441406249995
0,Hit,1.366,0.002,2.729,0.692,220.065,-2.9077441406249998
1,Miss,1.127,0.065,2.189,0.534,84.081,-2.9077441406249998
2,FTI,3.352,1.542,5.163,0.922,701.895,-2.9077441406249998
3,RP,0.87,0.085,1.654,0.38,24.399,-2.9077441406249998
0,Hit,1.359,0.038,2.681,0.671,264.409,-2.8977441406249995
1,Miss,1.244,0.231,2.256,0.51,97.582,-2.8977441406249995
2,FTI,3.652,1.876,5.429,0.905,884.777,-2.8977441406249995
3,RP,0.798,0.077,1.519,0.351,25.609,-2.8977441406249995
0,Hit,1.436,0.089,2.782,0.683,222.204,-2.8877441406249997
1,Miss,1.332,0.284,2.38,0.527,84.796,-2.8877441406249997
2,FTI,4.049,2.26,5.838,0.911,709.536,-2.8877441406249997
3,RP,0.799,0.026,1.572,0.375,24.521,-2.8877441406249997
0,Hit,1.555,0.201,2.909,0.687,212.537,-2.8777441406249995
1,Miss,1.374,0.316,2.432,0.532,81.822,-2.8777441406249995
2,FTI,4.036,2.242,5.83,0.914,671.669,-2.8777441406249995
3,RP,0.866,0.079,1.652,0.381,24.207,-2.8777441406249995
0,Hit,1.738,0.428,3.048,0.665,275.888,-2.8677441406249997
1,Miss,1.287,0.289,2.286,0.503,100.823,-2.8677441406249997
2,FTI,3.7,1.933,5.467,0.901,940.49,-2.8677441406249997
3,RP,0.838,0.135,1.541,0.342,25.639,-2.8677441406249997
0,Hit,1.976,0.667,3.284,0.665,272.087,-2.8577441406249995
1,Miss,1.084,0.086,2.081,0.503,99.342,-2.8577441406249995
