index,condition,Estimate,2.5_ci,97.5_ci,SE,DF,time
0,Hit,-0.042,-0.978,0.895,0.476,311.207,-2.997744140625
1,Miss,0.409,-0.412,1.231,0.416,154.031,-2.997744140625
2,RP,0.709,0.204,1.214,0.247,30.624,-2.997744140625
0,Hit,0.235,-0.663,1.133,0.457,382.552,-2.987744140625
1,Miss,0.334,-0.444,1.112,0.394,174.608,-2.987744140625
2,RP,0.655,0.202,1.108,0.223,33.629,-2.987744140625
0,Hit,0.373,-0.505,1.252,0.448,3299.0,-2.977744140625
1,Miss,0.415,-0.339,1.169,0.385,3299.0,-2.977744140625
2,RP,0.581,0.163,0.998,0.213,3299.0,-2.977744140625
0,Hit,0.466,-0.417,1.349,0.449,378.072,-2.967744140625
1,Miss,0.509,-0.257,1.275,0.388,173.417,-2.967744140625
2,RP,0.566,0.119,1.014,0.22,33.431,-2.967744140625
0,Hit,0.721,-0.179,1.62,0.457,293.28,-2.957744140625
1,Miss,0.359,-0.433,1.152,0.401,149.408,-2.957744140625
2,RP,0.608,0.113,1.103,0.243,30.291,-2.957744140625
0,Hit,0.924,0.019,1.829,0.459,237.582,-2.947744140625
1,Miss,0.154,-0.653,0.96,0.408,130.611,-2.947744140625
2,RP,0.583,0.054,1.112,0.258,28.458,-2.947744140625
0,Hit,0.819,-0.066,1.704,0.449,254.423,-2.937744140625
1,Miss,0.145,-0.64,0.929,0.397,135.014,-2.937744140625
2,RP,0.651,0.147,1.155,0.246,28.344,-2.937744140625
0,Hit,0.485,-0.389,1.36,0.444,247.946,-2.927744140625
1,Miss,0.24,-0.537,1.016,0.393,132.446,-2.927744140625
2,RP,0.766,0.265,1.267,0.245,27.986,-2.927744140625
0,Hit,0.181,-0.688,1.05,0.441,228.77,-2.9177441406249995
1,Miss,0.379,-0.396,1.153,0.391,125.714,-2.9177441406249995
2,RP,0.772,0.263,1.281,0.248,27.384,-2.9177441406249995
0,Hit,0.05,-0.781,0.88,0.422,295.786,-2.907744140625
1,Miss,0.501,-0.23,1.231,0.37,148.075,-2.907744140625
2,RP,0.736,0.284,1.188,0.221,29.648,-2.907744140625
0,Hit,0.091,-0.712,0.894,0.408,370.776,-2.8977441406249995
1,Miss,0.571,-0.125,1.268,0.353,170.184,-2.8977441406249995
2,RP,0.691,0.283,1.099,0.2,32.796,-2.8977441406249995
