index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
0,Hit - Miss,-0.221,-2.044,1.603,0.691,2470.83,-0.32,1.0,,-2.997744140625
1,Hit - FTI,0.682,-1.918,3.283,0.985,2881.384,0.693,1.0,,-2.997744140625
2,Hit - RP,-0.524,-2.136,1.088,0.61,1587.3,-0.858,1.0,,-2.997744140625
3,Miss - FTI,0.903,-1.467,3.273,0.898,3179.909,1.006,1.0,,-2.997744140625
4,Miss - RP,-0.303,-1.523,0.917,0.462,926.541,-0.656,1.0,,-2.997744140625
5,FTI - RP,-1.206,-3.407,0.996,0.834,3273.445,-1.446,0.89,,-2.997744140625
0,Hit - Miss,0.073,-1.712,1.859,0.676,2136.567,0.109,1.0,,-2.987744140625
1,Hit - FTI,0.516,-2.035,3.067,0.966,2666.451,0.534,1.0,,-2.987744140625
2,Hit - RP,-0.251,-1.822,1.321,0.595,1238.279,-0.421,1.0,,-2.987744140625
3,Miss - FTI,0.443,-1.886,2.771,0.882,3116.661,0.502,1.0,,-2.987744140625
4,Miss - RP,-0.324,-1.508,0.86,0.447,698.229,-0.724,1.0,,-2.987744140625
5,FTI - RP,-0.767,-2.932,1.399,0.82,3245.167,-0.935,1.0,,-2.987744140625
0,Hit - Miss,0.085,-1.678,1.848,0.668,3298.0,0.128,1.0,,-2.977744140625
1,Hit - FTI,0.389,-2.133,2.911,0.955,3298.0,0.407,1.0,,-2.977744140625
2,Hit - RP,-0.08,-1.627,1.467,0.586,3298.0,-0.137,1.0,,-2.977744140625
3,Miss - FTI,0.304,-2.002,2.609,0.873,3298.0,0.348,1.0,,-2.977744140625
4,Miss - RP,-0.166,-1.326,0.995,0.44,3298.0,-0.376,1.0,,-2.977744140625
5,FTI - RP,-0.469,-2.614,1.676,0.813,3298.0,-0.578,1.0,,-2.977744140625
0,Hit - Miss,0.037,-1.717,1.79,0.664,2143.094,0.056,1.0,,-2.967744140625
1,Hit - FTI,0.243,-2.262,2.749,0.949,2670.908,0.256,1.0,,-2.967744140625
2,Hit - RP,-0.021,-1.564,1.523,0.584,1244.407,-0.035,1.0,,-2.967744140625
3,Miss - FTI,0.206,-2.081,2.494,0.866,3117.998,0.238,1.0,,-2.967744140625
4,Miss - RP,-0.057,-1.22,1.105,0.44,702.049,-0.131,1.0,,-2.967744140625
5,FTI - RP,-0.264,-2.391,1.863,0.806,3245.809,-0.328,1.0,,-2.967744140625
0,Hit - Miss,0.371,-1.367,2.108,0.658,2560.244,0.563,1.0,,-2.957744140625
1,Hit - FTI,0.026,-2.451,2.504,0.938,2934.242,0.028,1.0,,-2.957744140625
2,Hit - RP,0.122,-1.416,1.66,0.582,1699.491,0.209,1.0,,-2.957744140625
3,Miss - FTI,-0.344,-2.601,1.912,0.855,3195.607,-0.403,1.0,,-2.957744140625
4,Miss - RP,-0.249,-1.414,0.917,0.441,1009.961,-0.565,1.0,,-2.957744140625
5,FTI - RP,0.095,-2.0,2.191,0.794,3278.788,0.12,1.0,,-2.957744140625
0,Hit - Miss,0.693,-1.013,2.4,0.646,2802.773,1.073,1.0,,-2.947744140625
1,Hit - FTI,-0.231,-2.661,2.198,0.92,3069.45,-0.251,1.0,,-2.947744140625
2,Hit - RP,0.262,-1.253,1.777,0.574,2051.023,0.457,1.0,,-2.947744140625
3,Miss - FTI,-0.925,-3.135,1.285,0.837,3235.616,-1.105,1.0,,-2.947744140625
4,Miss - RP,-0.432,-1.584,0.721,0.436,1300.642,-0.989,1.0,,-2.947744140625
5,FTI - RP,0.493,-1.558,2.545,0.777,3290.624,0.635,1.0,,-2.947744140625
0,Hit - Miss,0.61,-1.078,2.297,0.639,2685.519,0.954,1.0,,-2.937744140625
1,Hit - FTI,-0.196,-2.6,2.207,0.91,3005.975,-0.216,1.0,,-2.937744140625
2,Hit - RP,0.102,-1.394,1.598,0.566,1867.795,0.18,1.0,,-2.937744140625
3,Miss - FTI,-0.806,-2.994,1.382,0.829,3216.803,-0.972,1.0,,-2.937744140625
4,Miss - RP,-0.508,-1.644,0.628,0.43,1139.639,-1.181,1.0,,-2.937744140625
5,FTI - RP,0.298,-1.733,2.329,0.769,3285.883,0.387,1.0,,-2.937744140625
0,Hit - Miss,0.242,-1.422,1.907,0.63,2701.541,0.384,1.0,,-2.927744140625
1,Hit - FTI,-0.01,-2.381,2.361,0.898,3014.942,-0.011,1.0,,-2.927744140625
2,Hit - RP,-0.284,-1.76,1.192,0.559,1890.63,-0.509,1.0,,-2.927744140625
3,Miss - FTI,-0.252,-2.41,1.906,0.817,3219.47,-0.308,1.0,,-2.927744140625
4,Miss - RP,-0.527,-1.648,0.595,0.424,1157.991,-1.241,1.0,,-2.927744140625
5,FTI - RP,-0.274,-2.278,1.729,0.759,3286.71,-0.362,1.0,,-2.927744140625
0,Hit - Miss,-0.125,-1.763,1.513,0.62,2786.937,-0.201,1.0,,-2.9177441406249995
1,Hit - FTI,0.217,-2.115,2.549,0.883,3061.418,0.246,1.0,,-2.9177441406249995
2,Hit - RP,-0.517,-1.971,0.937,0.551,2022.12,-0.94,1.0,,-2.9177441406249995
3,Miss - FTI,0.342,-1.78,2.464,0.804,3233.3,0.426,1.0,,-2.9177441406249995
4,Miss - RP,-0.392,-1.499,0.714,0.419,1271.556,-0.938,1.0,,-2.9177441406249995
5,FTI - RP,-0.735,-2.704,1.234,0.746,3290.343,-0.985,1.0,,-2.9177441406249995
0,Hit - Miss,-0.372,-1.984,1.239,0.61,2485.602,-0.61,1.0,,-2.907744140625
1,Hit - FTI,0.235,-2.063,2.533,0.87,2890.457,0.27,1.0,,-2.907744140625
2,Hit - RP,-0.608,-2.033,0.818,0.54,1603.41,-1.126,1.0,,-2.907744140625
3,Miss - FTI,0.608,-1.486,2.701,0.793,3182.486,0.766,1.0,,-2.907744140625
4,Miss - RP,-0.235,-1.315,0.844,0.408,936.542,-0.577,1.0,,-2.907744140625
5,FTI - RP,-0.843,-2.788,1.102,0.737,3274.728,-1.144,1.0,,-2.907744140625
0,Hit - Miss,-0.53,-2.123,1.064,0.603,2130.457,-0.878,1.0,,-2.8977441406249995
1,Hit - FTI,-0.151,-2.427,2.126,0.862,2662.351,-0.175,1.0,,-2.8977441406249995
2,Hit - RP,-0.65,-2.052,0.753,0.531,1231.124,-1.224,1.0,,-2.8977441406249995
3,Miss - FTI,0.379,-1.699,2.457,0.787,3115.045,0.481,1.0,,-2.8977441406249995
4,Miss - RP,-0.12,-1.177,0.937,0.399,692.332,-0.301,1.0,,-2.8977441406249995
5,FTI - RP,-0.499,-2.432,1.433,0.732,3245.037,-0.682,1.0,,-2.8977441406249995
0,Hit - Miss,-0.495,-2.082,1.092,0.601,2660.937,-0.823,1.0,,-2.887744140625
1,Hit - FTI,-0.416,-2.677,1.845,0.856,2991.989,-0.485,1.0,,-2.887744140625
2,Hit - RP,-0.507,-1.913,0.899,0.532,1834.468,-0.952,1.0,,-2.887744140625
