index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
0,Hit - Miss,0.392,-1.795,2.578,0.828,3003.755,0.473,1.0,,-2.9977441406249996
1,Hit - FTI,-1.445,-4.554,1.664,1.178,3172.577,-1.227,1.0,,-2.9977441406249996
2,Hit - RP,0.649,-1.298,2.595,0.737,2419.579,0.88,1.0,,-2.9977441406249996
3,Miss - FTI,-1.836,-4.662,0.989,1.07,3266.276,-1.716,0.518,,-2.9977441406249996
4,Miss - RP,0.257,-1.229,1.744,0.563,1675.68,0.457,1.0,,-2.9977441406249996
5,FTI - RP,2.094,-0.526,4.714,0.992,3296.713,2.11,0.21,,-2.9977441406249996
0,Hit - Miss,0.675,-1.488,2.837,0.819,2862.867,0.824,1.0,,-2.987744140625
1,Hit - FTI,-1.586,-4.663,1.492,1.166,3101.328,-1.36,1.0,,-2.987744140625
2,Hit - RP,0.961,-0.96,2.882,0.728,2150.757,1.321,1.0,,-2.987744140625
3,Miss - FTI,-2.26,-5.059,0.538,1.06,3245.134,-2.132,0.198,,-2.987744140625
4,Miss - RP,0.286,-1.177,1.75,0.554,1392.395,0.517,1.0,,-2.987744140625
5,FTI - RP,2.547,-0.05,5.144,0.984,3292.968,2.589,0.058,.,-2.987744140625
0,Hit - Miss,0.637,-1.515,2.789,0.815,2866.063,0.781,1.0,,-2.9777441406249996
1,Hit - FTI,-1.761,-4.824,1.301,1.16,3102.757,-1.518,0.774,,-2.9777441406249996
2,Hit - RP,1.117,-0.794,3.029,0.724,2158.122,1.544,0.737,,-2.9777441406249996
3,Miss - FTI,-2.398,-5.183,0.387,1.055,3245.5,-2.273,0.139,,-2.9777441406249996
4,Miss - RP,0.481,-0.975,1.937,0.551,1401.183,0.872,1.0,,-2.9777441406249996
5,FTI - RP,2.879,0.294,5.463,0.979,3292.923,2.941,0.02,*,-2.9777441406249996
0,Hit - Miss,0.595,-1.548,2.739,0.812,3020.203,0.733,1.0,,-2.9677441406249994
1,Hit - FTI,-1.976,-5.024,1.072,1.154,3180.352,-1.712,0.522,,-2.9677441406249994
2,Hit - RP,1.102,-0.807,3.011,0.723,2456.429,1.524,0.765,,-2.9677441406249994
3,Miss - FTI,-2.571,-5.341,0.198,1.049,3268.465,-2.451,0.086,.,-2.9677441406249994
4,Miss - RP,0.507,-0.951,1.965,0.552,1720.741,0.918,1.0,,-2.9677441406249994
5,FTI - RP,3.078,0.51,5.646,0.973,3296.926,3.164,0.009,**,-2.9677441406249994
0,Hit - Miss,0.913,-1.209,3.036,0.804,3113.583,1.136,1.0,,-2.9577441406249996
1,Hit - FTI,-2.247,-5.263,0.768,1.142,3224.747,-1.967,0.295,,-2.9577441406249996
2,Hit - RP,1.181,-0.712,3.074,0.717,2671.189,1.647,0.598,,-2.9577441406249996
