index,Contrast,Estimate,2.5_ci,97.5_ci,SE,DF,T-stat,P-val,Sig,time
0,Hit - Miss,-0.451,-1.909,1.007,0.609,2796.877,-0.741,1.0,,-2.997744140625
1,Hit - RP,-0.751,-1.982,0.481,0.514,2106.135,-1.46,0.433,,-2.997744140625
2,Miss - RP,-0.3,-1.405,0.806,0.461,910.442,-0.65,1.0,,-2.997744140625
0,Hit - Miss,-0.099,-1.529,1.331,0.597,2569.296,-0.166,1.0,,-2.987744140625
1,Hit - RP,-0.42,-1.624,0.784,0.502,1757.183,-0.836,1.0,,-2.987744140625
2,Miss - RP,-0.321,-1.394,0.751,0.447,689.029,-0.719,1.0,,-2.987744140625
0,Hit - Miss,-0.042,-1.456,1.372,0.59,3299.0,-0.071,1.0,,-2.977744140625
1,Hit - RP,-0.207,-1.395,0.981,0.496,3299.0,-0.418,1.0,,-2.977744140625
2,Miss - RP,-0.166,-1.218,0.887,0.44,3299.0,-0.377,1.0,,-2.977744140625
0,Hit - Miss,-0.043,-1.448,1.362,0.586,2585.321,-0.074,1.0,,-2.967744140625
1,Hit - RP,-0.101,-1.283,1.082,0.494,1779.617,-0.204,1.0,,-2.967744140625
2,Miss - RP,-0.057,-1.112,0.997,0.439,701.472,-0.13,1.0,,-2.967744140625
0,Hit - Miss,0.362,-1.028,1.751,0.58,2869.078,0.624,1.0,,-2.957744140625
1,Hit - RP,0.113,-1.061,1.287,0.49,2233.412,0.231,1.0,,-2.957744140625
2,Miss - RP,-0.249,-1.306,0.808,0.441,1011.771,-0.564,1.0,,-2.957744140625
0,Hit - Miss,0.77,-0.593,2.133,0.569,3019.326,1.353,0.529,,-2.947744140625
1,Hit - RP,0.341,-0.814,1.495,0.482,2528.487,0.707,1.0,,-2.947744140625
2,Miss - RP,-0.429,-1.474,0.616,0.436,1301.202,-0.985,0.975,,-2.947744140625
0,Hit - Miss,0.674,-0.674,2.023,0.563,2947.004,1.197,0.694,,-2.937744140625
1,Hit - RP,0.168,-0.973,1.309,0.476,2379.223,0.353,1.0,,-2.937744140625
2,Miss - RP,-0.506,-1.536,0.524,0.43,1139.867,-1.177,0.718,,-2.937744140625
0,Hit - Miss,0.245,-1.085,1.575,0.555,2958.185,0.442,1.0,,-2.927744140625
1,Hit - RP,-0.281,-1.407,0.845,0.47,2400.988,-0.598,1.0,,-2.927744140625
2,Miss - RP,-0.526,-1.543,0.491,0.424,1160.519,-1.24,0.646,,-2.927744140625
0,Hit - Miss,-0.197,-1.506,1.111,0.546,3010.807,-0.361,1.0,,-2.9177441406249995
1,Hit - RP,-0.591,-1.699,0.518,0.463,2508.68,-1.277,0.605,,-2.9177441406249995
2,Miss - RP,-0.393,-1.396,0.61,0.419,1274.583,-0.94,1.0,,-2.9177441406249995
0,Hit - Miss,-0.451,-1.74,0.838,0.538,2818.157,-0.838,1.0,,-2.907744140625
1,Hit - RP,-0.686,-1.775,0.403,0.454,2141.69,-1.51,0.394,,-2.907744140625
2,Miss - RP,-0.235,-1.214,0.744,0.408,935.068,-0.577,1.0,,-2.907744140625
0,Hit - Miss,-0.48,-1.756,0.797,0.533,2581.179,-0.9,1.0,,-2.8977441406249995
1,Hit - RP,-0.6,-1.675,0.475,0.449,1773.244,-1.337,0.544,,-2.8977441406249995
2,Miss - RP,-0.12,-1.079,0.838,0.399,696.3,-0.301,1.0,,-2.8977441406249995
0,Hit - Miss,-0.356,-1.624,0.913,0.53,2939.443,-0.671,1.0,,-2.887744140625
1,Hit - RP,-0.367,-1.44,0.706,0.448,2365.474,-0.819,1.0,,-2.887744140625
2,Miss - RP,-0.011,-0.98,0.957,0.404,1128.982,-0.028,1.0,,-2.887744140625
0,Hit - Miss,-0.286,-1.547,0.975,0.526,3067.737,-0.543,1.0,,-2.8777441406249995
1,Hit - RP,-0.332,-1.401,0.737,0.446,2634.483,-0.744,1.0,,-2.8777441406249995
2,Miss - RP,-0.046,-1.016,0.923,0.404,1432.367,-0.114,1.0,,-2.8777441406249995
0,Hit - Miss,-0.172,-1.438,1.094,0.529,2826.162,-0.326,1.0,,-2.867744140625
1,Hit - RP,-0.309,-1.378,0.76,0.446,2158.173,-0.693,1.0,,-2.867744140625
2,Miss - RP,-0.137,-1.097,0.824,0.4,953.974,-0.342,1.0,,-2.867744140625
0,Hit - Miss,0.095,-1.171,1.361,0.528,2416.626,0.18,1.0,,-2.8577441406249995
1,Hit - RP,-0.067,-1.132,0.997,0.444,1555.3,-0.151,1.0,,-2.8577441406249995
2,Miss - RP,-0.162,-1.108,0.783,0.394,579.133,-0.413,1.0,,-2.8577441406249995
0,Hit - Miss,0.315,-0.957,1.586,0.531,2636.86,0.593,1.0,,-2.847744140625
1,Hit - RP,0.103,-0.969,1.175,0.447,1850.282,0.23,1.0,,-2.847744140625
2,Miss - RP,-0.211,-1.171,0.748,0.4,732.769,-0.529,1.0,,-2.847744140625
0,Hit - Miss,0.243,-1.014,1.5,0.525,2829.461,0.464,1.0,,-2.8377441406249995
1,Hit - RP,0.002,-1.06,1.064,0.443,2161.595,0.004,1.0,,-2.8377441406249995
2,Miss - RP,-0.242,-1.196,0.713,0.398,951.011,-0.607,1.0,,-2.8377441406249995
0,Hit - Miss,0.118,-1.111,1.347,0.513,2890.048,0.23,1.0,,-2.827744140625
1,Hit - RP,-0.223,-1.262,0.816,0.434,2271.712,-0.514,1.0,,-2.827744140625
2,Miss - RP,-0.341,-1.276,0.595,0.39,1043.925,-0.873,1.0,,-2.827744140625
0,Hit - Miss,0.242,-0.963,1.447,0.503,2935.633,0.481,1.0,,-2.8177441406249994
1,Hit - RP,-0.119,-1.138,0.9,0.425,2358.035,-0.28,1.0,,-2.8177441406249994
2,Miss - RP,-0.361,-1.281,0.558,0.384,1121.838,-0.942,1.0,,-2.8177441406249994
0,Hit - Miss,0.373,-0.817,1.564,0.497,2814.414,0.751,1.0,,-2.807744140625
1,Hit - RP,0.019,-0.987,1.025,0.42,2136.385,0.045,1.0,,-2.807744140625
2,Miss - RP,-0.355,-1.258,0.549,0.377,933.771,-0.941,1.0,,-2.807744140625
0,Hit - Miss,0.289,-0.898,1.476,0.495,2603.88,0.583,1.0,,-2.7977441406249994
1,Hit - RP,-0.178,-1.178,0.821,0.417,1806.345,-0.428,1.0,,-2.7977441406249994
2,Miss - RP,-0.467,-1.359,0.424,0.371,717.681,-1.259,0.626,,-2.7977441406249994
0,Hit - Miss,0.124,-1.064,1.312,0.496,2609.628,0.25,1.0,,-2.787744140625
1,Hit - RP,-0.277,-1.278,0.724,0.418,1813.765,-0.664,1.0,,-2.787744140625
2,Miss - RP,-0.401,-1.295,0.492,0.372,719.541,-1.078,0.844,,-2.787744140625
0,Hit - Miss,-0.015,-1.187,1.157,0.489,2745.314,-0.031,1.0,,-2.777744140625
1,Hit - RP,-0.213,-1.202,0.776,0.413,2018.407,-0.516,1.0,,-2.777744140625
2,Miss - RP,-0.198,-1.085,0.69,0.37,842.408,-0.535,1.0,,-2.777744140625
0,Hit - Miss,-0.138,-1.291,1.016,0.481,2607.89,-0.286,1.0,,-2.767744140625
1,Hit - RP,-0.256,-1.228,0.716,0.406,1809.155,-0.631,1.0,,-2.767744140625
2,Miss - RP,-0.118,-0.987,0.75,0.362,711.094,-0.326,1.0,,-2.767744140625
0,Hit - Miss,-0.152,-1.294,0.99,0.477,2510.902,-0.319,1.0,,-2.7577441406249994
1,Hit - RP,-0.32,-1.282,0.641,0.401,1676.51,-0.798,1.0,,-2.7577441406249994
2,Miss - RP,-0.168,-1.024,0.687,0.356,641.754,-0.472,1.0,,-2.7577441406249994
0,Hit - Miss,-0.238,-1.37,0.895,0.473,2639.108,-0.503,1.0,,-2.747744140625
1,Hit - RP,-0.378,-1.333,0.576,0.398,1855.488,-0.949,1.0,,-2.747744140625
