channel,betas,pvals,tstat,time,frequency
Cz,-0.1297052479096026,0.4943578437781687,-0.6834639397154012,-0.5,0.5
F1,-0.15698761557995095,0.6493400851443512,-0.45472235148184803,-0.5,0.5
P1,0.41793276396438567,0.01454890698621429,2.444590009967027,-0.5,0.5
C3,-0.22857556129522422,0.40243186053097846,-0.8373836851145938,-0.5,0.5
Cz,0.042702899026191614,0.4864584847911785,0.6960248021959502,-0.5,1.5128205128205128
F1,-0.14762093512902708,0.05662571455221628,-1.9068288046066657,-0.5,1.5128205128205128
P1,-0.07197551692624167,0.46033157657409185,-0.7383796366634008,-0.5,1.5128205128205128
C3,-0.10237839594485072,0.32784696068182406,-0.9785911743723359,-0.5,1.5128205128205128
Cz,0.02432054216608087,0.6080102604075099,0.5129604974576674,-0.5,2.525641025641025
F1,-0.044007769298649836,0.4217602114188669,-0.8034644160850157,-0.5,2.525641025641025
P1,-0.04823645212961016,0.5768635023234239,-0.5580227717918564,-0.5,2.525641025641025
C3,-0.0798433570443788,0.21856138751906246,-1.2305747109933882,-0.5,2.525641025641025
Cz,-0.027970766679004822,0.6138751984793734,-0.5045931549350872,-0.5,3.5384615384615383
F1,-0.019197425336583158,0.741559202417303,-0.3298146804989578,-0.5,3.5384615384615383
P1,-0.02825659704538406,0.7563464379904893,-0.3103059057751361,-0.5,3.5384615384615383
C3,0.05394352722329154,0.27319280273863183,1.0959048960871218,-0.5,3.5384615384615383
Cz,-0.02744624248604168,0.6670923385512466,-0.43017709987631075,-0.5,4.55128205128205
F1,0.06411218753447162,0.41076931740800093,0.8226355394981433,-0.5,4.55128205128205
P1,0.03676499133553451,0.6482502039347127,0.45623256097911924,-0.5,4.55128205128205
C3,0.046184437812548065,0.35823716341693623,0.9188455024489435,-0.5,4.55128205128205
Cz,-0.059260168562602376,0.5439472356799925,-0.606912494263161,-0.5,5.564102564102564
F1,-0.09369537507886533,0.46826937244072486,-0.7253739514514471,-0.5,5.564102564102564
P1,0.0005845051340106946,0.9955237513824714,0.005610560689418247,-0.5,5.564102564102564
C3,0.029930602377471405,0.6504633126465919,0.453156182839325,-0.5,5.564102564102564
Cz,-0.08646431268389834,0.5495589763329732,-0.5984769090953427,-0.5,6.5769230769230775
F1,-0.1920862043989606,0.25906046155122003,-1.1287906634695497,-0.5,6.5769230769230775
P1,-0.08766887120288777,0.5963655198495736,-0.5296807797632771,-0.5,6.5769230769230775
C3,0.05822871469232959,0.48588844934255915,0.6969342023802542,-0.5,6.5769230769230775
Cz,0.026079324161635508,0.8854823270832319,0.1440330544858187,-0.5,7.589743589743589
F1,-0.05838498926743999,0.7806874602725046,-0.2784438340063002,-0.5,7.589743589743589
P1,0.05928177927556328,0.81965046638495,0.22801100843516361,-0.5,7.589743589743589
C3,0.09286897957246698,0.373018542814896,0.8909429627635107,-0.5,7.589743589743589
Cz,0.05926807803166426,0.7679402111870147,0.29509224555889313,-0.5,8.602564102564102
F1,0.11921545996686943,0.637892831053475,0.47068642171327785,-0.5,8.602564102564102
P1,0.36799277900375743,0.2882713496966993,1.0620763730983662,-0.5,8.602564102564102
C3,0.1392757420359131,0.26006773496455554,1.12640621026132,-0.5,8.602564102564102
Cz,-0.03334740604837875,0.8711120878509166,-0.16225747888299943,-0.5,9.615384615384617
F1,0.15108475039299618,0.5877017199977547,0.5422176296640507,-0.5,9.615384615384617
P1,0.48897603079703966,0.2275860739602639,1.2068035691325965,-0.5,9.615384615384617
C3,0.16887902640593905,0.20056531650021406,1.2801741429743778,-0.5,9.615384615384617
Cz,-0.0764682954297741,0.655525695684257,-0.44613573666450707,-0.5,10.628205128205126
F1,0.06135162477496396,0.7986266198323353,0.25514354518903354,-0.5,10.628205128205126
P1,0.4016755022670566,0.28813111090808463,1.0623853827956546,-0.5,10.628205128205126
C3,0.18375943914718587,0.11271767350322541,1.586477785992931,-0.5,10.628205128205126
Cz,-0.05362565431973791,0.645008097725331,-0.46074635895967897,-0.5,11.64102564102564
F1,-0.066632470790614,0.687508955038109,-0.40226993712557335,-0.5,11.64102564102564
P1,0.24476847913167682,0.37634946798921765,0.8847506300482822,-0.5,11.64102564102564
C3,0.17187687456080522,0.052072481537797755,1.9431708049566334,-0.5,11.64102564102564
Cz,-0.01704724186295712,0.8115639773341045,-0.2384262506167253,-0.5,12.653846153846152
F1,-0.15867337752305216,0.14578726053541266,-1.4548853178845953,-0.5,12.653846153846152
P1,0.10838159149662839,0.5219652556512913,0.6403808632900986,-0.5,12.653846153846152
C3,0.12624157418020326,0.05182819752693223,1.9451990896754203,-0.5,12.653846153846152
Cz,0.007616420238972017,0.8686557922693123,0.16537804571974452,-0.5,13.666666666666664
F1,-0.1871920239149407,0.032389081471462,-2.1404106074375977,-0.5,13.666666666666664
P1,0.0189878192939672,0.8454876064537316,0.1948929939863554,-0.5,13.666666666666664
C3,0.0698537844922419,0.1599845599318709,1.4054120489383437,-0.5,13.666666666666664
Cz,0.01616408205350968,0.6489861210065808,0.45521025644133445,-0.5,14.67948717948718
F1,-0.17020586038798882,0.039721432570163064,-2.0574082128164415,-0.5,14.67948717948718
P1,-0.020561978919132366,0.7440879503975293,-0.32646998047347947,-0.5,14.67948717948718
C3,0.03353268734060611,0.44010440550943053,0.7721016069415031,-0.5,14.67948717948718
Cz,0.015301187425237773,0.6367668620181548,0.47226468372596375,-0.5,15.692307692307693
F1,-0.13105255478146036,0.09757934909167414,-1.657148792315594,-0.5,15.692307692307693
P1,-0.016644803151846913,0.737429180889089,-0.33528597215007433,-0.5,15.692307692307693
C3,0.019662394861086487,0.6435821902726135,0.46273466288073317,-0.5,15.692307692307693
Cz,0.014070515207627412,0.6585933613166004,0.44189280544236226,-0.5,16.705128205128204
F1,-0.09618977836077156,0.18701501120033623,-1.319715863433493,-0.5,16.705128205128204
P1,0.010917832411126082,0.8017415493782791,0.2511124788924201,-0.5,16.705128205128204
C3,0.00858167545986192,0.8392103941909652,0.2029180646409011,-0.5,16.705128205128204
Cz,0.0224261667190215,0.4868895767106278,0.6953358491271696,-0.5,17.71794871794872
F1,-0.0755136110508089,0.25911437267883775,-1.1286652018958854,-0.5,17.71794871794872
P1,0.036058231611044,0.35921825250479256,0.9169731481628723,-0.5,17.71794871794872
C3,-0.007786046546375585,0.851167111562421,-0.18764280283353366,-0.5,17.71794871794872
Cz,0.04291403063938503,0.1933882064455828,1.3008624891312666,-0.5,18.73076923076923
F1,-0.05973929442977241,0.3553005496120756,-0.9244752566076123,-0.5,18.73076923076923
P1,0.04646546703243819,0.1947015501074288,1.297037286154536,-0.5,18.73076923076923
C3,-0.018382777260507254,0.663116239470156,-0.4356503490969883,-0.5,18.73076923076923
Cz,0.06408748002320086,0.0540275316616192,1.9272395400442872,-0.5,19.743589743589748
F1,-0.039980617327572125,0.5451031869119336,-0.6051709842920162,-0.5,19.743589743589748
P1,0.04251756721830528,0.19123973116143012,1.3071661908496932,-0.5,19.743589743589748
C3,-0.011243418137014955,0.8117885479991717,-0.23813659426454797,-0.5,19.743589743589748
Cz,0.07120820232867596,0.03014056512880178,2.1690859885942495,-0.5,20.756410256410252
F1,-0.016758390705172547,0.8109949304326723,-0.23916005796265657,-0.5,20.756410256410252
P1,0.031822490762477576,0.27582446433733643,1.0899126297142747,-0.5,20.756410256410252
C3,0.00917324183054193,0.8697262048300766,0.16401783540983247,-0.5,20.756410256410252
Cz,0.060874480858170786,0.062159408967401575,1.865729963544385,-0.5,21.76923076923077
F1,0.008978158260989315,0.9076357030301169,0.11602931070260226,-0.5,21.76923076923077
P1,0.0224383382551689,0.3818124060650251,0.8746686288219866,-0.5,21.76923076923077
C3,0.025789937039394157,0.6863929254818226,0.40378719497526494,-0.5,21.76923076923077
Cz,0.04213479346001038,0.20769571098367554,1.2601506842878376,-0.5,22.78205128205128
F1,0.04017545422485504,0.6516870739739743,0.45145697837252236,-0.5,22.78205128205128
P1,0.01804930982114195,0.4118016993982502,0.8208220489423395,-0.5,22.78205128205128
C3,0.026663837885654715,0.6935592532430849,0.3940607757982958,-0.5,22.78205128205128
Cz,0.02595531417028166,0.4485738201617332,0.7578767097097364,-0.5,23.794871794871803
F1,0.0745129174845046,0.470506170187764,0.7217309755720119,-0.5,23.794871794871803
P1,0.017419862184884918,0.35164244454065174,0.9315280556386808,-0.5,23.794871794871803
C3,0.015352877164474059,0.8210097569052442,0.22626277556806898,-0.5,23.794871794871803
Cz,0.01693431850578129,0.6104265244719933,0.5095087650983953,-0.5,24.80769230769231
F1,0.09973517005934483,0.39073548944516,0.8583865241067258,-0.5,24.80769230769231
P1,0.017149025220815354,0.29017771003917425,1.0578859567168877,-0.5,24.80769230769231
C3,0.004272070096010797,0.9483761451015609,0.06475058288305996,-0.5,24.80769230769231
Cz,0.013881274896817631,0.641288495586623,0.46593695451992767,-0.5,25.820512820512818
F1,0.10481910421150345,0.39978734361185697,0.8420997722201886,-0.5,25.820512820512818
P1,0.014847421931841921,0.3033622991266071,1.0293953969141798,-0.5,25.820512820512818
C3,0.0010061377412542095,0.9869916632138438,0.016305375234438944,-0.5,25.820512820512818
Cz,0.014137705714412373,0.5703440860162481,0.5675963491381224,-0.5,26.83333333333333
F1,0.09226553513821859,0.4671904511251427,0.7271341875941773,-0.5,26.83333333333333
P1,0.010358152124575724,0.42554580385867835,0.7969262355450092,-0.5,26.83333333333333
C3,0.002605000680524998,0.9620516612786022,0.04758241060479736,-0.5,26.83333333333333
Cz,0.015604931737722962,0.4385188434703874,0.7747819488535775,-0.5,27.84615384615385
F1,0.07456624347781475,0.5458811542934139,0.6040001220511553,-0.5,27.84615384615385
P1,0.005061871470593938,0.6654190593235243,0.4324787732894807,-0.5,27.84615384615385
C3,0.0014915691953152463,0.9743390993652562,0.032168927382197406,-0.5,27.84615384615385
Cz,0.01658381503442184,0.3123906702085564,1.0103585931162862,-0.5,28.85897435897436
F1,0.060379192311534303,0.5961069159903698,0.5300538133323505,-0.5,28.85897435897436
P1,0.0006617375416157317,0.949407205811406,0.06345558270716048,-0.5,28.85897435897436
C3,-0.00546430486362926,0.8859013320393487,-0.14350243172632332,-0.5,28.85897435897436
Cz,0.01593354603579456,0.24262659941892684,1.1686365282345104,-0.5,29.871794871794872
F1,0.048330543627461406,0.623069509513301,0.49154659437581755,-0.5,29.871794871794872
P1,-0.0018005875448035493,0.8431126192215512,-0.19792775557831488,-0.5,29.871794871794872
C3,-0.01418762409235724,0.6435875972643531,-0.4627271526414494,-0.5,29.871794871794872
Cz,0.01361512968526898,0.22741071136934363,1.2072591827077381,-0.5,30.884615384615387
F1,0.03361601279275442,0.669720299982239,0.4265664874486768,-0.5,30.884615384615387
P1,-0.0024163083290738453,0.7531026958104696,-0.3145745550881064,-0.5,30.884615384615387
C3,-0.018321864463137036,0.45270845681652006,-0.7509878740245266,-0.5,30.884615384615387
Cz,0.010431736562874858,0.2476050286425339,1.1563714732925001,-0.5,31.897435897435894
F1,0.016089761753904423,0.785558794985591,0.272102262682606,-0.5,31.897435897435894
P1,-0.0021142507278856535,0.7343678773366042,-0.3393470025826627,-0.5,31.897435897435894
C3,-0.015488450847742375,0.4195043884874453,-0.8073728637173403,-0.5,31.897435897435894
Cz,0.0072114867234406525,0.29323965867148555,1.051192934287633,-0.5,32.91025641025641
F1,0.0003564367138089214,0.99328657927105,0.00841470124267493,-0.5,32.91025641025641
P1,-0.0018210919907116637,0.7075364173454977,-0.37519614278917907,-0.5,32.91025641025641
C3,-0.008640509859621255,0.556740781025227,-0.5877436519823425,-0.5,32.91025641025641
Cz,0.004417853900702292,0.37217204682784355,0.8925221155286914,-0.5,33.92307692307692
F1,-0.009350250029581557,0.7514834551117934,-0.3167078018556987,-0.5,33.92307692307692
P1,-0.001852565424602264,0.6112732261369833,-0.5083006962693257,-0.5,33.92307692307692
C3,-0.0024934769755634713,0.818265107493669,-0.22979352908630873,-0.5,33.92307692307692
Cz,0.00226772498250762,0.5072954997846923,0.663120193414072,-0.5,34.93589743589744
F1,-0.012470012576791999,0.5382039881594689,-0.615589361135384,-0.5,34.93589743589744
P1,-0.001994052442714859,0.4500864711813709,-0.7553521908059194,-0.5,34.93589743589744
C3,0.0003884854182816148,0.9600812444009115,0.05005507276288401,-0.5,34.93589743589744
Cz,0.0008515801193757178,0.7099719284783668,0.37192281846045117,-0.5,35.94871794871795
F1,-0.011290097418395446,0.41095355566650626,-0.8223112123723435,-0.5,35.94871794871795
P1,-0.0019565170989250293,0.28800566092904084,-1.062661910874862,-0.5,35.94871794871795
C3,0.0004449937646677316,0.9353203243712749,0.08115854376481761,-0.5,35.94871794871795
Cz,0.00010714203187632612,0.9427922729182269,0.07176574121015661,-0.5,36.96153846153846
F1,-0.00843675729917464,0.35627283075236715,-0.9226074735024136,-0.5,36.96153846153846
P1,-0.001669384845024523,0.1786864715375186,-1.3450693587443654,-0.5,36.96153846153846
C3,-0.0005652803461464392,0.8843237834203005,-0.14550047856603804,-0.5,36.96153846153846
Cz,-0.00016873520980815183,0.8583505646411762,-0.17848684751354793,-0.5,37.97435897435897
F1,-0.0055018968497800415,0.35360282874681004,-0.9277419672135409,-0.5,37.97435897435897
P1,-0.0012503076353944924,0.12605740361517406,-1.5301860827464524,-0.5,37.97435897435897
C3,-0.0013325767866298396,0.6273701034865817,-0.4854729021720118,-0.5,37.97435897435897
Cz,-0.00020705091268917718,0.7225148957248323,-0.35512712395027723,-0.5,38.987179487179496
F1,-0.003158326729890415,0.3936413046299687,-0.8531335026923347,-0.5,38.987179487179496
P1,-0.0008436823294158249,0.10869595370512797,-1.6044751092951943,-0.5,38.987179487179496
C3,-0.0014917426103859938,0.4274230049531823,-0.7936978389677881,-0.5,38.987179487179496
Cz,-0.0001654688463874233,0.64042646119289,-0.4671416315939328,-0.5,40.0
F1,-0.001606826526500738,0.4641910018153659,-0.7320403173923744,-0.5,40.0
P1,-0.0005249781780211589,0.10658900908708854,-1.61411495052911,-0.5,40.0
C3,-0.0012331375070180788,0.31000668640669854,-1.0153493512274088,-0.5,40.0
Cz,-0.11479368277171198,0.5483580725772585,-0.60027917971437,-0.45,0.5
F1,-0.1367151963187568,0.6925053579823368,-0.3954932877648851,-0.45,0.5
P1,0.461387770739384,0.00724198005927606,2.687025780198823,-0.45,0.5
C3,-0.21703001288258614,0.42884762555663125,-0.791253429718567,-0.45,0.5
Cz,0.06812729689426794,0.23947724045162747,1.1764892491964272,-0.45,1.5128205128205128
F1,-0.12837908048867397,0.08811679721783751,-1.7058957430860597,-0.45,1.5128205128205128
P1,-0.04116576099561927,0.6767054955728424,-0.416996747906851,-0.45,1.5128205128205128
C3,-0.10047655728554197,0.3120538432732897,-1.0110620637202339,-0.45,1.5128205128205128
Cz,0.01955581009780749,0.6721490139953081,0.4232349130130246,-0.45,2.525641025641025
F1,-0.02882442310839344,0.5956221946351065,-0.5307543964301706,-0.45,2.525641025641025
P1,-0.04916913857873669,0.5885116387215189,-0.5410428225655753,-0.45,2.525641025641025
C3,-0.09122427097172778,0.1682344339275911,-1.378173174698137,-0.45,2.525641025641025
