channel,betas,pvals,tstat,time,frequency
Cz,0.5041299741222196,0.008353367804308362,2.6419157250753513,-0.5,0.5
F1,0.370864000199883,0.15215662014234052,1.4329041995438274,-0.5,0.5
P1,0.5307902601702883,0.012278626124785405,2.5078967529105425,-0.5,0.5
C3,0.3783690061317388,0.3846968039284602,0.8695985121161925,-0.5,0.5
Cz,-0.007440729589026137,0.9223736129498756,-0.09746529756602015,-0.5,1.5128205128205128
F1,-0.020280693508925585,0.8373607497267279,-0.20532244347689382,-0.5,1.5128205128205128
P1,-0.22411123729354077,0.08752058304610727,-1.7100523910295795,-0.5,1.5128205128205128
C3,0.20495778147861207,0.06722623506377598,1.8318565848284403,-0.5,1.5128205128205128
Cz,-0.10406647827968535,0.1433212414973517,-1.46454267508939,-0.5,2.525641025641025
F1,0.15169365525421946,0.05072801206541219,1.9559052530482934,-0.5,2.525641025641025
P1,0.024863885625630605,0.8162900170472345,0.23237207786128536,-0.5,2.525641025641025
C3,-0.014050480205630529,0.8717925949186313,-0.16141708246939832,-0.5,2.525641025641025
Cz,-0.07142808678135812,0.40776375135801846,-0.8281337585556404,-0.5,3.5384615384615383
F1,0.002883307234969719,0.9713977216727627,0.035863344763247026,-0.5,3.5384615384615383
P1,-0.17684816650591598,0.09801301029893077,-1.6558817888582824,-0.5,3.5384615384615383
C3,0.09403874733329197,0.26627285008978707,1.112215525528614,-0.5,3.5384615384615383
Cz,0.0775796134756498,0.4453327843817796,0.7634764073091258,-0.5,4.55128205128205
F1,-0.051633698589686965,0.6373576686660788,-0.47151854665079873,-0.5,4.55128205128205
P1,-0.2320542197943174,0.053488259936183155,-1.9329123101184569,-0.5,4.55128205128205
C3,0.08103896756813193,0.3788921164458606,0.8802704199174429,-0.5,4.55128205128205
Cz,0.16263962425113995,0.23980304530026836,1.1760764027060782,-0.5,5.564102564102564
F1,-0.04081692974948766,0.8264022472572664,-0.2193669997108163,-0.5,5.564102564102564
P1,-0.28354784746564893,0.08919068369374396,-1.7010856080075494,-0.5,5.564102564102564
C3,-0.04013902574909911,0.7674812437065235,-0.2957399853228715,-0.5,5.564102564102564
Cz,0.0907050545470074,0.665565455053317,0.4323508510684499,-0.5,6.5769230769230775
F1,0.14580177598191263,0.585895424712031,0.5449439161416567,-0.5,6.5769230769230775
