channel,betas,pvals,tstat,time,frequency
Cz,0.7424114241743466,0.0967327633014143,1.6614949602653644,-0.5,0.5
F1,0.5217197571249621,0.5168414882088277,0.6483087884369925,-0.5,0.5
P1,0.7509287924622918,0.05102025886010381,1.9521986955033825,-0.5,0.5
C3,1.4788314565638687,0.01165520714314056,2.5241823508078456,-0.5,0.5
Cz,0.30042088718106935,0.030527030706059635,2.1643472137918445,-0.5,1.5128205128205128
F1,0.20520383916310067,0.23166863145989952,1.1963465440718342,-0.5,1.5128205128205128
P1,-0.006813578842654354,0.9740187475381226,-0.03257151747554373,-0.5,1.5128205128205128
C3,0.19562456858904378,0.4030708134667199,0.8362845104527681,-0.5,1.5128205128205128
Cz,0.11615146516020462,0.24428186269495536,1.164610917014056,-0.5,2.525641025641025
F1,0.16577703634252114,0.15702670319400794,1.4155448704101783,-0.5,2.525641025641025
P1,0.012641422579271122,0.9471628181497118,0.06627636561698493,-0.5,2.525641025641025
C3,0.05767549058288504,0.6798082086022037,0.4127707817995135,-0.5,2.525641025641025
Cz,-0.021191931525319202,0.8537471270862961,-0.1843575815728833,-0.5,3.5384615384615383
F1,-0.031578396514924396,0.7991094263351229,-0.2545255049936002,-0.5,3.5384615384615383
P1,-0.08907253164121563,0.6572978315678608,-0.4436972278494318,-0.5,3.5384615384615383
C3,-0.0887775622325015,0.360525545042251,-0.9145236809920153,-0.5,3.5384615384615383
Cz,-0.05017908201333832,0.7043761469066019,-0.3794609667672609,-0.5,4.55128205128205
F1,-0.13662047837735455,0.40794973078950314,-0.8276391682819145,-0.5,4.55128205128205
P1,0.029112347439000513,0.8637502383665903,0.17161898413047252,-0.5,4.55128205128205
C3,-0.11870511607167422,0.21656458261454692,-1.2360115916683603,-0.5,4.55128205128205
Cz,0.04027037388186921,0.8456041161968274,0.19474941374436344,-0.5,5.564102564102564
F1,-0.29498939299321486,0.27408631737172223,-1.0939283419676575,-0.5,5.564102564102564
P1,0.07655595527868589,0.7243222329624464,0.35272577449388487,-0.5,5.564102564102564
C3,0.020472064166455,0.8631877558884259,0.1723345586768542,-0.5,5.564102564102564
Cz,0.05891030716815074,0.845717084313554,0.19460513621260625,-0.5,6.5769230769230775
F1,-0.3360533429001288,0.33070614563895395,-0.9728722155526766,-0.5,6.5769230769230775
P1,0.07859919112518476,0.8268646285305861,0.21874630420590463,-0.5,6.5769230769230775
C3,0.23814937380573228,0.133271192799493,1.5017901914106146,-0.5,6.5769230769230775
Cz,0.12187247752272612,0.7419673999204609,0.3292837927315038,-0.5,7.589743589743589
F1,-0.2684574445775504,0.5109070145893042,-0.657515498919914,-0.5,7.589743589743589
P1,-0.11445662353278732,0.8343592079504729,-0.2091347847951496,-0.5,7.589743589743589
C3,0.11346336124487716,0.5621228049285298,0.5797649182271616,-0.5,7.589743589743589
Cz,0.18545606708738946,0.6454105521819719,0.46020019562308706,-0.5,8.602564102564102
F1,-0.11901426335203753,0.8000620964237668,-0.253292349611689,-0.5,8.602564102564102
P1,-0.26673794326087646,0.6969529553961584,-0.3894795521261745,-0.5,8.602564102564102
C3,-0.09603569342352845,0.6790391152673352,-0.4138207591171948,-0.5,8.602564102564102
Cz,0.13534106074637411,0.7421110794344803,0.3290936527296256,-0.5,9.615384615384617
F1,-0.11601319674988551,0.8184893451422202,-0.229511340482224,-0.5,9.615384615384617
P1,-0.24179175879949966,0.7531706778559151,-0.31449417178649824,-0.5,9.615384615384617
C3,-0.14405752565992228,0.5639900084755798,-0.5769982347928087,-0.5,9.615384615384617
Cz,0.06308836151526322,0.852791824565526,0.18557567552102763,-0.5,10.628205128205126
F1,-0.22884921451425827,0.5985175364994626,-0.5265974578485785,-0.5,10.628205128205126
P1,-0.22220367634734486,0.7502255477586395,-0.31837529675461157,-0.5,10.628205128205126
C3,-0.11019256936961905,0.6121538361811031,-0.5070619411210554,-0.5,10.628205128205126
Cz,0.04363174507815458,0.8465576537357494,0.19353151182500491,-0.5,11.64102564102564
F1,-0.26042300575146454,0.39836377330166817,-0.8446844916566424,-0.5,11.64102564102564
P1,-0.1897101354383869,0.7056091221688796,-0.3778007195809891,-0.5,11.64102564102564
C3,-0.06667967327445622,0.6807983270736541,-0.41141964392373814,-0.5,11.64102564102564
Cz,0.05391483168243698,0.6905784139205018,0.39811398367444784,-0.5,12.653846153846152
F1,-0.20916174295206932,0.3420320221038744,-0.9503294475627297,-0.5,12.653846153846152
P1,-0.13245060752026408,0.6661628351394859,-0.4314688705050259,-0.5,12.653846153846152
C3,-0.027230556304378928,0.8168789050494136,-0.23158426376834707,-0.5,12.653846153846152
Cz,0.06567964793159246,0.46031378988035243,0.7384383405178945,-0.5,13.666666666666664
F1,-0.1445045850995589,0.45033629884012605,-0.7549666995752375,-0.5,13.666666666666664
P1,-0.08178490387274101,0.6538110053785509,-0.44852533817988244,-0.5,13.666666666666664
C3,0.0029607590658458217,0.9744419289129043,0.032040812850946884,-0.5,13.666666666666664
Cz,0.06914851250033233,0.3360538545419206,0.9621668662599966,-0.5,14.67948717948718
F1,-0.08475955968774221,0.6480374996397875,-0.45654239665577045,-0.5,14.67948717948718
P1,-0.04121311491101399,0.7428915811123875,-0.32806098250096305,-0.5,14.67948717948718
C3,0.02485931950537037,0.7695352700285827,0.29301302209137464,-0.5,14.67948717948718
Cz,0.06620198037579107,0.3232308480667183,0.9880251688881199,-0.5,15.692307692307693
F1,-0.03409527088285377,0.8465472109312121,-0.19354477536178075,-0.5,15.692307692307693
P1,-0.005952946258828509,0.9535716333289992,-0.05822773599149314,-0.5,15.692307692307693
C3,0.042197533994009544,0.6226059615714227,0.4922184305134828,-0.5,15.692307692307693
Cz,0.060542782059110414,0.3623269086897747,0.9110981140552782,-0.5,16.705128205128204
F1,-0.017157098341808508,0.9142703528988493,-0.10766405981805904,-0.5,16.705128205128204
P1,0.012649918031459078,0.8857906454481388,0.14364642167804398,-0.5,16.705128205128204
C3,0.0530548566261532,0.5410125572233632,0.611362279768062,-0.5,16.705128205128204
Cz,0.05273395852003704,0.4316870695357745,0.7864286334575621,-0.5,17.71794871794872
F1,-0.04393082474841071,0.758864515643662,-0.3070040265264911,-0.5,17.71794871794872
P1,0.010283646439290462,0.8940487363773701,0.1331957378344339,-0.5,17.71794871794872
C3,0.04853205221977032,0.57487450888224,0.5609571647831321,-0.5,17.71794871794872
Cz,0.038007972557733846,0.5674837299604992,0.5718332046467446,-0.5,18.73076923076923
F1,-0.08273243458367284,0.5402965814537797,-0.6124443602063826,-0.5,18.73076923076923
